pr_id,sha,commit_author_type,added_files,modified_files,removed_files,renamed
2763308355,d3801cfc4de63e35de042b5a3cf0bb4247fe09d4,Agent,3.0,3.0,0.0,0.0
2763430169,61dc2fc8f9a273b2f62f171a6e431fa51f209375,Agent,0.0,1.0,0.0,0.0
2763610953,0a137ca9dd9a2dc8890373c1f1d5bbd184ba0b1d,Agent,1.0,1.0,0.0,0.0
2763610953,1153e8e498b6620987acbc65f8cff56a9cdcf793,Agent,0.0,1.0,0.0,0.0
2763610953,1302c4060722d94d611da35c7d42db04eccc358a,Agent,0.0,1.0,0.0,0.0
2763610953,4764e114ad16e50e149605803b34973d4244dac8,Agent,0.0,1.0,0.0,0.0
2763610953,a59c13cb58d721b4432f6809fdd79bddb8e68f95,Agent,0.0,1.0,0.0,0.0
2763610953,a9341b31f585850e16a7c394e30c8fb2515fb8ad,Agent,0.0,1.0,0.0,0.0
2763610953,c08b4e5d9ce3731e4b1e266b9c7e910e28cdf592,Agent,0.0,1.0,0.0,0.0
2763610953,c59c4afc16238163c0cd7b0fb0319cc6e2fcec0a,Agent,0.0,2.0,0.0,0.0
2763610953,f9d11e5cd8bb36c2454a1a4c824698c888bb7348,Agent,0.0,4.0,0.0,0.0
2763678225,1dc8ce2674f4cbad641f60f7ded4b8a3110a6f8b,Agent,0.0,3.0,0.0,0.0
2763678225,454ab55a261987f139c071a13f7fcaa6dbcfda06,Agent,0.0,2.0,0.0,0.0
2763678225,4604ac618d9731f8396a27304b1aa2cd773e421f,Agent,0.0,1.0,0.0,0.0
2763678225,613dd175ee591d40257940f18c74814e97d16083,Agent,0.0,3.0,0.0,0.0
2763678225,8c6883e5ee7756bc53f82e503b82016ed90fbbb4,Human,0.0,6.0,0.0,0.0
2763678225,b0d1d86c26c11dbf9787ee9ca6320c6ff8d043d1,Agent,0.0,4.0,0.0,0.0
2763678225,e0590e516f0e4cd2f1fdec5128d3d64934bf3818,Agent,3.0,5.0,0.0,0.0
2763926843,10d6c5c527d15ab8af2f8f172ab51a92fc550b1d,Agent,0.0,4.0,0.0,0.0
2763926843,1ece057ffc66f85527c7a6e07f996d60d2157ed6,Agent,0.0,3.0,0.0,0.0
2763926843,23f3f1da12be9411cb460f79b93e64088c23e0a2,Agent,0.0,2.0,0.0,0.0
2763926843,4d93a6080600a7fc3c33715a7ce9af60c03e38d4,Agent,0.0,2.0,0.0,0.0
2763926843,646ef12b3d8887996b79d924101d24729f42ff00,Agent,0.0,1.0,0.0,0.0
2763926843,a375ad2a2fdc9dfdff5e0de8cb0fd88d6908d047,Agent,0.0,6.0,0.0,0.0
2763926843,ac1dcd1a2c1a3c5c474ddb7b1ae9ee303aa0e1a5,Agent,3.0,5.0,0.0,0.0
2763926843,e17b424e25376a767f98fe45237c5213c7eaafb5,Agent,0.0,3.0,0.0,0.0
2763955999,452aa9f17329b7b1a178f9a08aece21bbd491021,Agent,1.0,1.0,0.0,0.0
2763955999,8517a1462ac7151696de5be917e80c844daba9a8,Agent,0.0,2.0,0.0,0.0
2764665933,0fd0b5c74f942338558afb1839c398563e5e9d7b,Agent,1.0,5.0,0.0,0.0
2764665933,39bdc7e4d49a47881830e977b6dcb4b3dc4e9280,Agent,0.0,6.0,0.0,0.0
2764665933,5d3c34b3eaa729cf512c22fbf9d561d7d6573a9f,Agent,0.0,5.0,0.0,0.0
2764665933,8ec2eb7d72752a1fff2b2d53142e76d21d4ed820,Agent,0.0,3.0,0.0,0.0
2764665933,b0d545992af3780530f7a24131b8c7299b69ab97,Human,0.0,6.0,0.0,0.0
2764665933,bfb578d50632aac7d8ed60b7667b239a2cd11454,Agent,0.0,1.0,0.0,0.0
2764665933,c4a401b24708d843c882dfe30a9b84a78a9dea3a,Human,0.0,2.0,0.0,0.0
2764665933,cf2f21cbfb971591372e26499eead5b3c33e0cff,Human,2.0,4.0,2.0,0.0
2764665933,dec255e87a7ef3e8c2049e71d9d25975822c15a3,Agent,0.0,2.0,0.0,0.0
2764665933,f75b07ce826190996304db1f7572b140df4fac6e,Agent,1.0,0.0,0.0,0.0
2765532800,51f8669fc94ac083d9774f81ce2962738fbd3a0c,Agent,2.0,3.0,0.0,0.0
2765766260,4fad159c2992a0bc55eeaa69102683a789019f0a,Agent,9.0,0.0,0.0,0.0
2765835144,4d194a0602127a94f2ead17899d8a5c318c3c8eb,Agent,0.0,2.0,0.0,0.0
2765835144,f92d3fc7da42917e630f7af654aaccf5f3e4cb2d,Agent,0.0,2.0,0.0,0.0
2765877627,07f0eb70ec2798173c89eae218c65da01a9aa61e,Agent,0.0,1.0,0.0,0.0
2765877627,23b366f05573dd07aee530d331fe9b0154385790,Agent,0.0,1.0,0.0,0.0
2765877627,317f7814c4c33e4824bb0990cc8f38d0c0e9bf19,Agent,0.0,1.0,0.0,0.0
2765877627,4a251063de950cef4345d5dea983affdd2f68fde,Agent,0.0,1.0,0.0,0.0
2765877627,506ca5f4d4abb493cd171538e397d28dd95cc41e,Agent,0.0,1.0,0.0,0.0
